frame,part,index,hand_index,x,y,z
1,hand,0,0,0.5916200280189514,0.8653852939605713,1.764698396300446e-07
1,hand,1,0,0.5768603682518005,0.8657344579696655,-0.011050988920032978
1,hand,2,0,0.5653601884841919,0.8830001950263977,-0.015171829611063004
1,hand,3,0,0.5557957291603088,0.9008603096008301,-0.016824042424559593
1,hand,4,0,0.5472607016563416,0.9174726605415344,-0.017863642424345016
1,hand,5,0,0.5740514993667603,0.92071133852005,-0.00967226643115282
1,hand,6,0,0.5633091926574707,0.9500910043716431,-0.010399886406958103
1,hand,7,0,0.5547938346862793,0.9622164368629456,-0.010349716991186142
1,hand,8,0,0.5486745238304138,0.9681906700134277,-0.009675616398453712
1,hand,9,0,0.5816272497177124,0.9246816039085388,-0.0034190616570413113
1,hand,10,0,0.5715769529342651,0.9538955092430115,-0.0025431709364056587
1,hand,11,0,0.56315678358078,0.9619236588478088,-0.00112033705227077
1,hand,12,0,0.5569908022880554,0.9638635516166687,0.00033573221298865974
1,hand,13,0,0.5867579579353333,0.9239210486412048,0.002237605629488826
1,hand,14,0,0.5781673789024353,0.9482941627502441,0.0038243220187723637
1,hand,15,0,0.5710508227348328,0.9556923508644104,0.005834562238305807
1,hand,16,0,0.5651293992996216,0.9590607285499573,0.007289348170161247
1,hand,17,0,0.5890148878097534,0.9202494621276855,0.006895272061228752
1,hand,18,0,0.5824156999588013,0.9422205686569214,0.008632182143628597
1,hand,19,0,0.5764046907424927,0.9498480558395386,0.010777469724416733
1,hand,20,0,0.571776270866394,0.9526879787445068,0.012630671262741089
1,hand,0,1,0.4231400489807129,0.8476767539978027,6.39014388070791e-08
1,hand,1,1,0.4375595450401306,0.8696358799934387,-0.00010232972272206098
1,hand,2,1,0.4424808621406555,0.8971185088157654,0.0009487198549322784
1,hand,3,1,0.4436720907688141,0.9207525849342346,0.0021123376209288836
1,hand,4,1,0.4460862874984741,0.9393821954727173,0.003748334478586912
1,hand,5,1,0.4330276846885681,0.9147952198982239,0.0053201052360236645
1,hand,6,1,0.43446582555770874,0.9368205070495605,0.007711159065365791
1,hand,7,1,0.43559831380844116,0.948651134967804,0.008091113530099392
1,hand,8,1,0.4368499517440796,0.9589353203773499,0.00806740578263998
1,hand,9,1,0.42402875423431396,0.9148938655853271,0.005560930818319321
1,hand,10,1,0.42545557022094727,0.9374985694885254,0.00855519063770771
1,hand,11,1,0.42712128162384033,0.9500807523727417,0.008626527152955532
1,hand,12,1,0.42859384417533875,0.9597664475440979,0.008285445161163807
1,hand,13,1,0.4174051582813263,0.9123665690422058,0.005601781886070967
1,hand,14,1,0.4181850552558899,0.9337504506111145,0.007481901906430721
1,hand,15,1,0.4202623963356018,0.9462350010871887,0.007625431753695011
1,hand,16,1,0.4229623079299927,0.9555923342704773,0.007534022442996502
1,hand,17,1,0.4123923182487488,0.9081356525421143,0.005621736869215965
1,hand,18,1,0.4126443862915039,0.9282204508781433,0.007841593585908413
1,hand,19,1,0.4143422842025757,0.9387126564979553,0.00954971369355917
1,hand,20,1,0.416788250207901,0.9459026455879211,0.010745733045041561
2,hand,0,0,0.5916594862937927,0.8629220724105835,1.7644379113335162e-07
2,hand,1,0,0.5765591263771057,0.8647561073303223,-0.011290311813354492
2,hand,2,0,0.5649194717407227,0.8814128041267395,-0.015714731067419052
2,hand,3,0,0.5557882189750671,0.900550127029419,-0.017438147217035294
2,hand,4,0,0.5467498302459717,0.9161431193351746,-0.01840633898973465
2,hand,5,0,0.5743119120597839,0.9178321361541748,-0.011587081477046013
2,hand,6,0,0.5630232095718384,0.9491432309150696,-0.013276759535074234
2,hand,7,0,0.5543640851974487,0.9608179926872253,-0.013671902008354664
2,hand,8,0,0.5477315783500671,0.9665783047676086,-0.013237250968813896
2,hand,9,0,0.5814642310142517,0.922331690788269,-0.005340435542166233
2,hand,10,0,0.5704050064086914,0.9544880390167236,-0.005946960300207138
2,hand,11,0,0.5608955025672913,0.9635900855064392,-0.005161922890692949
2,hand,12,0,0.5535495281219482,0.965399444103241,-0.00404913118109107
2,hand,13,0,0.5859377980232239,0.9216691255569458,0.0004371961404103786
2,hand,14,0,0.5766270160675049,0.9476040601730347,0.0008202219032682478
2,hand,15,0,0.5685268640518188,0.9553424715995789,0.0020350473932921886
2,hand,16,0,0.5616258382797241,0.9584680795669556,0.0030738499481230974
2,hand,17,0,0.5876761078834534,0.9181097149848938,0.005278672091662884
2,hand,18,0,0.580316424369812,0.9397929310798645,0.006113456096500158
2,hand,19,0,0.5736408829689026,0.9476994872093201,0.007564704865217209
2,hand,20,0,0.5679678916931152,0.9507636427879333,0.008996857330203056
2,hand,0,1,0.42393457889556885,0.8609856963157654,2.3874296317671906e-08
2,hand,1,1,0.43899503350257874,0.8757740259170532,-0.001115043880417943
2,hand,2,1,0.44420358538627625,0.9018054008483887,-0.0008967037429101765
2,hand,3,1,0.445438951253891,0.9258741140365601,-0.00018861448916140944
2,hand,4,1,0.44842272996902466,0.9429126381874084,0.0010836609872058034
2,hand,5,1,0.4345531165599823,0.9246603846549988,-0.00031564015080221
2,hand,6,1,0.43588119745254517,0.9525968432426453,-0.0003946076612919569
2,hand,7,1,0.4382493197917938,0.9660394191741943,-0.0002633962139952928
2,hand,8,1,0.44050395488739014,0.9748327732086182,0.00021027140610385686
2,hand,9,1,0.424246609210968,0.9242034554481506,0.0002913839998655021
