frame,part,index,hand_index,x,y,z
1,hand,0,0,0.5411635041236877,0.7658354640007019,8.594242473236591e-08
1,hand,1,0,0.5278013348579407,0.7742676138877869,-0.008653338998556137
1,hand,2,0,0.5189992189407349,0.7980758547782898,-0.01090845838189125
1,hand,3,0,0.5127713084220886,0.8209717869758606,-0.011305596679449081
1,hand,4,0,0.5062338709831238,0.8378873467445374,-0.010897235944867134
1,hand,5,0,0.5278546214103699,0.8268841505050659,-0.005795360542833805
1,hand,6,0,0.5214404463768005,0.8555729389190674,-0.007136436179280281
1,hand,7,0,0.5177533626556396,0.871558427810669,-0.008251583203673363
1,hand,8,0,0.5152583718299866,0.8842474818229675,-0.008977184072136879
1,hand,9,0,0.5338486433029175,0.8293506503105164,-0.0015983541961759329
1,hand,10,0,0.5272165536880493,0.8569474816322327,-0.003117598360404372
1,hand,11,0,0.5226210355758667,0.8726357221603394,-0.004092685412615538
1,hand,12,0,0.5190728902816772,0.8849294781684875,-0.004506452940404415
1,hand,13,0,0.5372689366340637,0.8288405537605286,0.001963071757927537
1,hand,14,0,0.5310065150260925,0.854059100151062,0.0009162663482129574
1,hand,15,0,0.5265975594520569,0.8684159517288208,0.0007340091397054493
1,hand,16,0,0.5227309465408325,0.8805789947509766,0.0009123147465288639
1,hand,17,0,0.5386709570884705,0.827009916305542,0.004705740138888359
1,hand,18,0,0.5329020023345947,0.8490558862686157,0.004670496564358473
1,hand,19,0,0.5288347005844116,0.8617976903915405,0.005170241463929415
1,hand,20,0,0.5251854062080383,0.8708673119544983,0.005775753408670425
1,hand,0,1,0.37079158425331116,0.7713872790336609,-2.0511107479137536e-08
1,hand,1,1,0.38671207427978516,0.7800180315971375,-0.006621156353503466
1,hand,2,1,0.3959585428237915,0.8066629767417908,-0.007427866570651531
1,hand,3,1,0.40181952714920044,0.8307467699050903,-0.0065523600205779076
1,hand,4,1,0.4072161316871643,0.8490152359008789,-0.004864163231104612
1,hand,5,1,0.38258278369903564,0.8315610885620117,-0.003793260781094432
1,hand,6,1,0.3940267562866211,0.8565480709075928,-0.00413507642224431
