frame,part,index,hand_index,x,y,z
1,hand,0,0,0.4430043399333954,0.7290207147598267,-4.231828754086564e-08
1,hand,1,0,0.45613887906074524,0.7401359677314758,-0.007664863485842943
1,hand,2,0,0.46231839060783386,0.7635606527328491,-0.010204982943832874
1,hand,3,0,0.465108722448349,0.7866471409797668,-0.010700750164687634
1,hand,4,0,0.46681803464889526,0.8049977421760559,-0.010151343420147896
1,hand,5,0,0.4468441307544708,0.7814168334007263,-0.008939193561673164
1,hand,6,0,0.45235735177993774,0.8105390071868896,-0.010362330824136734
1,hand,7,0,0.4597563147544861,0.8170579671859741,-0.01041760016232729
1,hand,8,0,0.465591162443161,0.8165223598480225,-0.009641261771321297
1,hand,9,0,0.4393588602542877,0.7818812727928162,-0.004525129217654467
1,hand,10,0,0.4460146427154541,0.810791552066803,-0.004982477519661188
1,hand,11,0,0.45519042015075684,0.8163062334060669,-0.00409252243116498
1,hand,12,0,0.4617998003959656,0.8147620558738708,-0.0032984267454594374
1,hand,13,0,0.4357222616672516,0.7794855237007141,-0.00040435107075609267
1,hand,14,0,0.4416179656982422,0.805422842502594,-0.0008292081183753908
1,hand,15,0,0.4499460756778717,0.8109090924263,7.992445171112195e-05
1,hand,16,0,0.4559365510940552,0.8103201389312744,0.0009629938867874444
1,hand,17,0,0.4347675144672394,0.7769892811775208,0.0032513458281755447
1,hand,18,0,0.43876662850379944,0.7987844347953796,0.003104575676843524
1,hand,19,0,0.44538432359695435,0.8059054017066956,0.0038184907753020525
1,hand,20,0,0.4508383274078369,0.8066805005073547,0.0046426039189100266
1,hand,0,1,0.5954712629318237,0.7319803237915039,5.98219571656955e-08
1,hand,1,1,0.5840024948120117,0.7443854808807373,-0.007822810672223568
1,hand,2,1,0.5798810124397278,0.7678582668304443,-0.009645240381360054
1,hand,3,1,0.5771887898445129,0.7902893424034119,-0.009730310179293156
1,hand,4,1,0.5743904709815979,0.8080408573150635,-0.008743150159716606
1,hand,5,1,0.5973167419433594,0.7881414294242859,-0.0050180102698504925
1,hand,6,1,0.5900208950042725,0.8150457143783569,-0.006127229426056147
1,hand,7,1,0.5819634199142456,0.816206693649292,-0.006768886465579271
1,hand,8,1,0.5761014819145203,0.8119749426841736,-0.006708596367388964
1,hand,9,1,0.6021036505699158,0.7871115803718567,-0.0004651202179957181
1,hand,10,1,0.5931406617164612,0.8108718991279602,-0.0008523109136149287
1,hand,11,1,0.584577202796936,0.8113276958465576,-0.0014383282978087664
1,hand,12,1,0.5780271291732788,0.8077909350395203,-0.0017827554838731885
1,hand,13,1,0.6034107804298401,0.783669650554657,0.0035073398612439632
1,hand,14,1,0.5946451425552368,0.804000735282898,0.003086044453084469
1,hand,15,1,0.5867978930473328,0.8060541152954102,0.0020429231226444244
1,hand,16,1,0.5803220272064209,0.804336428642273,0.0013394876150414348
1,hand,17,1,0.6021479368209839,0.7803101539611816,0.006874842569231987
1,hand,18,1,0.5956949591636658,0.79786616563797,0.006198966410011053
1,hand,19,1,0.5890308618545532,0.8014724850654602,0.005583042278885841
1,hand,20,1,0.5831451416015625,0.8007435202598572,0.005469942465424538
1,pose,0,-1,0.515679121017456,0.2052292823791504,-0.38943901658058167
1,pose,1,-1,0.5257066488265991,0.18049150705337524,-0.3716069757938385
1,pose,2,-1,0.5313635468482971,0.18057435750961304,-0.37169894576072693
1,pose,3,-1,0.5349673628807068,0.1808546781539917,-0.37176984548568726
1,pose,4,-1,0.5095417499542236,0.18117386102676392,-0.3695773482322693
1,pose,5,-1,0.5047498941421509,0.18151545524597168,-0.3696303367614746
1,pose,6,-1,0.4998672604560852,0.18199282884597778,-0.3697870969772339
1,pose,7,-1,0.542701780796051,0.19109684228897095,-0.24390199780464172
1,pose,8,-1,0.4965101182460785,0.19230550527572632,-0.23604843020439148
1,pose,9,-1,0.5268945097923279,0.22954890131950378,-0.34046781063079834
1,pose,10,-1,0.5053345561027527,0.22955739498138428,-0.3382810652256012
1,pose,11,-1,0.5897822976112366,0.34314286708831787,-0.1608661264181137
1,pose,12,-1,0.4545268416404724,0.3440031409263611,-0.1480550318956375
1,pose,13,-1,0.6034477949142456,0.5413097739219666,-0.09958001226186752
1,pose,14,-1,0.4400956332683563,0.5388851165771484,-0.11294181644916534
1,pose,15,-1,0.5979331731796265,0.7280327677726746,-0.2224632352590561
1,pose,16,-1,0.44957810640335083,0.7263869643211365,-0.23663051426410675
1,pose,17,-1,0.6048206090927124,0.7777056694030762,-0.26771852374076843
1,pose,18,-1,0.4472939372062683,0.7804259061813354,-0.2730858623981476
1,pose,19,-1,0.5929285287857056,0.7757508754730225,-0.3024052083492279
1,pose,20,-1,0.4579048752784729,0.7771088480949402,-0.311350554227829
1,pose,21,-1,0.5882547497749329,0.7590543627738953,-0.23744551837444305
1,pose,22,-1,0.4614788293838501,0.759422779083252,-0.2527223527431488
1,pose,23,-1,0.5578073859214783,0.7002924680709839,-0.007225607056170702
1,pose,24,-1,0.48598626255989075,0.703859806060791,0.007388098165392876
1,pose,25,-1,0.5501483678817749,0.9544356465339661,-0.03554027900099754
1,pose,26,-1,0.495402067899704,0.9437515735626221,0.022825023159384727
1,pose,27,-1,0.5541659593582153,1.1453442573547363,0.301988810300827
1,pose,28,-1,0.4988758862018585,1.1371667385101318,0.31328287720680237
1,pose,29,-1,0.5548819303512573,1.1682660579681396,0.3294980227947235
1,pose,30,-1,0.500995934009552,1.159574270248413,0.33870241045951843
1,pose,31,-1,0.5502489805221558,1.2266923189163208,0.21044206619262695
1,pose,32,-1,0.5019862055778503,1.2155307531356812,0.201747328042984
2,hand,0,0,0.44305354356765747,0.7285330295562744,-5.961172888646615e-08
2,hand,1,0,0.45663800835609436,0.7403615713119507,-0.006845271214842796
2,hand,2,0,0.462639719247818,0.763469934463501,-0.009694471023976803
2,hand,3,0,0.46505677700042725,0.7857716083526611,-0.010878887958824635
2,hand,4,0,0.4659729301929474,0.8025338053703308,-0.011032763868570328
2,hand,5,0,0.44727709889411926,0.7798076272010803,-0.009983843192458153
2,hand,6,0,0.45230087637901306,0.8103466629981995,-0.012509112246334553
2,hand,7,0,0.45957332849502563,0.8166846036911011,-0.012667792849242687
2,hand,8,0,0.4652690887451172,0.8166682124137878,-0.011967611499130726
2,hand,9,0,0.43931692838668823,0.7806428074836731,-0.0067414999939501286
2,hand,10,0,0.4456709027290344,0.8124810457229614,-0.009113321080803871
2,hand,11,0,0.4552205801010132,0.8154220581054688,-0.008386274799704552
2,hand,12,0,0.46139535307884216,0.811881959438324,-0.007260404992848635
2,hand,13,0,0.43507546186447144,0.778904378414154,-0.0036866774316877127
2,hand,14,0,0.4404686391353607,0.8078570365905762,-0.005819135811179876
2,hand,15,0,0.4489333927631378,0.8098306655883789,-0.00474822660908103
2,hand,16,0,0.4543085992336273,0.8059282898902893,-0.003326484700664878
2,hand,17,0,0.43351078033447266,0.776594340801239,-0.0010206399019807577
2,hand,18,0,0.4374081492424011,0.7998184561729431,-0.0025084533262997866
2,hand,19,0,0.44386202096939087,0.8044515252113342,-0.0019454102730378509
2,hand,20,0,0.4485449194908142,0.8024463653564453,-0.0009220984647981822
2,hand,0,1,0.5957961678504944,0.7292383313179016,8.13787224274165e-08
2,hand,1,1,0.5845127701759338,0.7416476607322693,-0.0081273652613163
2,hand,2,1,0.5801775455474854,0.7655373811721802,-0.010363693349063396
2,hand,3,1,0.5778124928474426,0.7885493636131287,-0.010764633305370808
2,hand,4,1,0.5755923986434937,0.8069736957550049,-0.010258941911160946
2,hand,5,1,0.5976656079292297,0.786339521408081,-0.005631990730762482
2,hand,6,1,0.5907832980155945,0.812739372253418,-0.006829880177974701
2,hand,7,1,0.5826008319854736,0.8157730102539062,-0.007582561112940311
2,hand,8,1,0.5766955018043518,0.8125844597816467,-0.007506879512220621
2,hand,9,1,0.6024582982063293,0.7855780124664307,-0.00102409184910357
2,hand,10,1,0.594004213809967,0.8097689151763916,-0.0017650038935244083
2,hand,11,1,0.5852977633476257,0.812258780002594,-0.0025867498479783535
2,hand,12,1,0.5785890817642212,0.8093722462654114,-0.0028330653440207243
2,hand,13,1,0.603769838809967,0.7825276255607605,0.003060005372390151
2,hand,14,1,0.5957537293434143,0.8031890988349915,0.0023468048311769962
2,hand,15,1,0.5877427458763123,0.8066028356552124,0.0012955052079632878
2,hand,16,1,0.5812622904777527,0.8055486679077148,0.000800361973233521
2,hand,17,1,0.6028096675872803,0.7793173789978027,0.006547437980771065
2,hand,18,1,0.5972070693969727,0.79705810546875,0.005684481002390385
2,hand,19,1,0.5908008217811584,0.8012512922286987,0.005189358722418547
2,hand,20,1,0.5850540995597839,0.8012722134590149,0.005299802403897047
2,pose,0,-1,0.515903115272522,0.2048872709274292,-0.4072798490524292
2,pose,1,-1,0.5259307026863098,0.1804036796092987,-0.38807907700538635
2,pose,2,-1,0.5314682126045227,0.18055129051208496,-0.3881717026233673
2,pose,3,-1,0.535163938999176,0.18084625899791718,-0.38823509216308594
2,pose,4,-1,0.5095357298851013,0.1808185875415802,-0.3880845010280609
2,pose,5,-1,0.5047269463539124,0.1810462474822998,-0.3881544768810272
2,pose,6,-1,0.4998374581336975,0.18144692480564117,-0.3882964551448822
2,pose,7,-1,0.5431622266769409,0.19131265580654144,-0.2522866427898407
2,pose,8,-1,0.4963277578353882,0.19202709197998047,-0.254207581281662
2,pose,9,-1,0.5270081758499146,0.22956973314285278,-0.35535743832588196
2,pose,10,-1,0.5059459209442139,0.22960428893566132,-0.355862021446228
2,pose,11,-1,0.5896913409233093,0.34313854575157166,-0.162574902176857
2,pose,12,-1,0.4545469284057617,0.34407076239585876,-0.16926309466362
2,pose,13,-1,0.6034443378448486,0.5414770841598511,-0.09935907274484634
2,pose,14,-1,0.4404129385948181,0.5415270924568176,-0.13241849839687347
2,pose,15,-1,0.5975821614265442,0.7286988496780396,-0.22226829826831818
2,pose,16,-1,0.4497193396091461,0.7268365621566772,-0.25273028016090393
