frame,part,index,hand_index,x,y,z
1,hand,0,0,0.3840658962726593,0.8249503374099731,-4.453768198686703e-08
1,hand,1,0,0.39984211325645447,0.8381776809692383,-0.00158126768656075
1,hand,2,0,0.4073117673397064,0.8612444400787354,-0.001985149923712015
1,hand,3,0,0.409790962934494,0.8841137886047363,-0.0018961733439937234
1,hand,4,0,0.41257745027542114,0.9008611440658569,-0.0011901110410690308
1,hand,5,0,0.3987024426460266,0.8843671679496765,-0.001992229139432311
1,hand,6,0,0.40401941537857056,0.9120720624923706,-0.002633890835568309
1,hand,7,0,0.4090196192264557,0.9225701689720154,-0.002958538243547082
1,hand,8,0,0.41333484649658203,0.9282786846160889,-0.002803410869091749
1,hand,9,0,0.3897838592529297,0.8866589069366455,-0.001261316705495119
1,hand,10,0,0.39665552973747253,0.9145479798316956,-0.0014724907232448459
1,hand,11,0,0.4031871259212494,0.919758141040802,-0.0007906551472842693
1,hand,12,0,0.40737617015838623,0.9192643165588379,-3.999537875643e-05
1,hand,13,0,0.38298144936561584,0.8845983743667603,-0.0004965884145349264
1,hand,14,0,0.3888280987739563,0.9106501340866089,-4.785302735399455e-05
1,hand,15,0,0.3950902819633484,0.9150330424308777,0.0018573662964627147
1,hand,16,0,0.39892974495887756,0.9133210778236389,0.003344214055687189
1,hand,17,0,0.3778975009918213,0.8804090023040771,3.80315505026374e-05
1,hand,18,0,0.3811047375202179,0.9012259840965271,0.0015307182911783457
1,hand,19,0,0.3867339789867401,0.9065426588058472,0.0038071339949965477
1,hand,20,0,0.39067342877388,0.9055690169334412,0.0057020946405828
1,hand,0,1,0.5488064885139465,0.8112680912017822,6.998649837441917e-08
1,hand,1,1,0.5353867411613464,0.8279986381530762,-0.0027324187103658915
1,hand,2,1,0.5306522846221924,0.8534571528434753,-0.0031578533817082644
1,hand,3,1,0.5299730896949768,0.8763112425804138,-0.0027593846898525953
1,hand,4,1,0.5273802280426025,0.8930319547653198,-0.001806836575269699
1,hand,5,1,0.5433517098426819,0.8728029727935791,-0.0032584958244115114
1,hand,6,1,0.5388645529747009,0.904334545135498,-0.0034861359745264053
1,hand,7,1,0.5340349674224854,0.9162880182266235,-0.003107332158833742
1,hand,8,1,0.530014157295227,0.9235379099845886,-0.0026047085411846638
1,hand,9,1,0.5514068603515625,0.8727490901947021,-0.0014702347107231617
1,hand,10,1,0.5457066893577576,0.9036778807640076,-0.0011232346296310425
1,hand,11,1,0.5388837456703186,0.9110761880874634,-0.0004418445168994367
1,hand,12,1,0.5333111882209778,0.912738561630249,2.203239273512736e-05
1,hand,13,1,0.5561243295669556,0.8691815137863159,0.00039213948184624314
1,hand,14,1,0.5513983368873596,0.8965883851051331,0.0013530083233490586
1,hand,15,1,0.5449737310409546,0.9030007719993591,0.002293711295351386
1,hand,16,1,0.5397974848747253,0.903887152671814,0.0026184190064668655
1,hand,17,1,0.5583783388137817,0.8643677830696106,0.0020053840707987547
1,hand,18,1,0.554975688457489,0.8863658905029297,0.0032635629177093506
1,hand,19,1,0.5495666861534119,0.8934147953987122,0.004618611186742783
1,hand,20,1,0.5450656414031982,0.8944258093833923,0.005598428659141064
1,pose,0,-1,0.44969600439071655,0.22048264741897583,-0.4480650722980499
1,pose,1,-1,0.4585696756839752,0.19554120302200317,-0.4247452914714813
1,pose,2,-1,0.46479395031929016,0.19515472650527954,-0.4247961640357971
1,pose,3,-1,0.46906954050064087,0.1950196623802185,-0.42484718561172485
1,pose,4,-1,0.4399300813674927,0.19870012998580933,-0.4269181787967682
1,pose,5,-1,0.43436819314956665,0.2001323699951172,-0.4269992709159851
1,pose,6,-1,0.4297843873500824,0.20187300443649292,-0.4271562397480011
1,pose,7,-1,0.4765414893627167,0.20557743310928345,-0.2766511142253876
1,pose,8,-1,0.4263855814933777,0.21661758422851562,-0.2864622175693512
1,pose,9,-1,0.46310558915138245,0.24968917667865753,-0.3924461305141449
1,pose,10,-1,0.44027644395828247,0.2522090673446655,-0.3950946033000946
1,pose,11,-1,0.532204270362854,0.38301828503608704,-0.17559006810188293
1,pose,12,-1,0.38566944003105164,0.3964279890060425,-0.21195921301841736
1,pose,13,-1,0.5478266477584839,0.6064561009407043,-0.11183187365531921
1,pose,14,-1,0.37437742948532104,0.6203407049179077,-0.19150404632091522
1,pose,15,-1,0.552161455154419,0.8041267395019531,-0.25485193729400635
1,pose,16,-1,0.39093202352523804,0.8160078525543213,-0.32017210125923157
1,pose,17,-1,0.5587772130966187,0.8569599390029907,-0.3039257824420929
1,pose,18,-1,0.39142662286758423,0.8775954842567444,-0.36161646246910095
1,pose,19,-1,0.545507550239563,0.8593251705169678,-0.3394680619239807
1,pose,20,-1,0.4040883183479309,0.8736847639083862,-0.40206795930862427
1,pose,21,-1,0.5411958694458008,0.8438778519630432,-0.2716915011405945
1,pose,22,-1,0.40730422735214233,0.8537031412124634,-0.3373247981071472
1,pose,23,-1,0.5126908421516418,0.7699839472770691,0.012857964262366295
1,pose,24,-1,0.42848366498947144,0.7863410115242004,-0.012497478164732456
1,pose,25,-1,0.502607524394989,1.0096441507339478,-0.00812823511660099
1,pose,26,-1,0.4417370557785034,1.0143640041351318,0.020666275173425674
1,pose,27,-1,0.5167365074157715,1.2568813562393188,0.39602768421173096
1,pose,28,-1,0.4429115653038025,1.2638691663742065,0.3673318326473236
1,pose,29,-1,0.5165673494338989,1.2874023914337158,0.42895984649658203
1,pose,30,-1,0.4448539912700653,1.293190836906433,0.39716285467147827
1,pose,31,-1,0.5169196128845215,1.3449190855026245,0.2827136814594269
1,pose,32,-1,0.45272189378738403,1.3492642641067505,0.230696439743042
