frame,part,index,hand_index,x,y,z
1,hand,0,0,0.5111862421035767,0.8418353796005249,-1.866839660635833e-08
1,hand,1,0,0.49457815289497375,0.8416746854782104,-0.004691153299063444
1,hand,2,0,0.4788917005062103,0.8474329113960266,-0.009702544659376144
1,hand,3,0,0.46662819385528564,0.8609421849250793,-0.014555923640727997
1,hand,4,0,0.4576639235019684,0.8748499155044556,-0.01955854892730713
1,hand,5,0,0.4823317229747772,0.8845975399017334,-0.009929024614393711
1,hand,6,0,0.47033706307411194,0.8963862657546997,-0.014902227558195591
1,hand,7,0,0.4651760756969452,0.8952596783638,-0.01771252416074276
1,hand,8,0,0.46275633573532104,0.8918396830558777,-0.019379843026399612
1,hand,9,0,0.4914461374282837,0.8961400389671326,-0.010177813470363617
1,hand,10,0,0.4788856506347656,0.911882221698761,-0.012795520015060902
1,hand,11,0,0.4745941162109375,0.9085708856582642,-0.013741171918809414
1,hand,12,0,0.4738599956035614,0.9015722274780273,-0.015165649354457855
1,hand,13,0,0.5007383227348328,0.9012875556945801,-0.01058329176157713
1,hand,14,0,0.4910370409488678,0.9208906292915344,-0.01263926737010479
1,hand,15,0,0.4866489768028259,0.9163308143615723,-0.012220300734043121
1,hand,16,0,0.4852829575538635,0.9076244235038757,-0.012511991895735264
1,hand,17,0,0.5102434158325195,0.9026713371276855,-0.011265707202255726
1,hand,18,0,0.5057190656661987,0.9203416109085083,-0.0120363375172019
1,hand,19,0,0.5016059279441833,0.9188435673713684,-0.010487462393939495
1,hand,20,0,0.5002918243408203,0.911810576915741,-0.00951363891363144
1,pose,0,-1,0.49322280287742615,0.2524821162223816,-0.49944007396698
1,pose,1,-1,0.5037977695465088,0.22919094562530518,-0.4754684269428253
1,pose,2,-1,0.5097087025642395,0.22910374402999878,-0.47550609707832336
1,pose,3,-1,0.514484167098999,0.22936201095581055,-0.4755660891532898
1,pose,4,-1,0.48354774713516235,0.23088032007217407,-0.47404536604881287
1,pose,5,-1,0.4778304696083069,0.23140394687652588,-0.4741518795490265
1,pose,6,-1,0.4731277823448181,0.23187577724456787,-0.47435036301612854
1,pose,7,-1,0.5231205821037292,0.240712508559227,-0.3311845064163208
1,pose,8,-1,0.4678736925125122,0.24503159523010254,-0.32293081283569336
1,pose,9,-1,0.5071274638175964,0.28651660680770874,-0.44562551379203796
1,pose,10,-1,0.48295342922210693,0.28756892681121826,-0.4432423412799835
1,pose,11,-1,0.5758200287818909,0.4331628084182739,-0.23928028345108032
1,pose,12,-1,0.4185861349105835,0.4305618107318878,-0.2529040575027466
1,pose,13,-1,0.5817952752113342,0.6503015756607056,-0.21882328391075134
1,pose,14,-1,0.40601906180381775,0.6538494825363159,-0.26528212428092957
1,pose,15,-1,0.5317516326904297,0.8098894953727722,-0.3442191481590271
1,pose,16,-1,0.46005764603614807,0.8165462017059326,-0.40005043148994446
1,pose,17,-1,0.5268879532814026,0.8716499209403992,-0.39715591073036194
1,pose,18,-1,0.4708167612552643,0.8734586238861084,-0.45033854246139526
1,pose,19,-1,0.5101184844970703,0.8592802882194519,-0.4145979881286621
1,pose,20,-1,0.48354727029800415,0.8631653189659119,-0.4726216495037079
1,pose,21,-1,0.5111121535301208,0.8406609892845154,-0.3529219925403595
1,pose,22,-1,0.4807699918746948,0.843630313873291,-0.409931480884552
1,pose,23,-1,0.537784993648529,0.7691171169281006,-0.003570318454876542
1,pose,24,-1,0.45481669902801514,0.7753581404685974,0.0040249633602797985
1,pose,25,-1,0.5293281078338623,1.0460290908813477,-0.06196128576993942
1,pose,26,-1,0.4524846374988556,1.0447739362716675,-0.06677936017513275
1,pose,27,-1,0.5277696847915649,1.2392834424972534,0.3395027816295624
1,pose,28,-1,0.4549604654312134,1.2549943923950195,0.24720324575901031
1,pose,29,-1,0.5265723466873169,1.267389178276062,0.3706290125846863
1,pose,30,-1,0.45599594712257385,1.290602684020996,0.2731347978115082
1,pose,31,-1,0.5240809321403503,1.3377180099487305,0.21915282309055328
1,pose,32,-1,0.461799293756485,1.3380696773529053,0.08960957080125809
2,hand,0,0,0.5134950876235962,0.8476284742355347,-1.1828227286514448e-08
2,hand,1,0,0.4964224696159363,0.8394656777381897,-0.001871973043307662
2,hand,2,0,0.48080676794052124,0.846210777759552,-0.002957732882350683
2,hand,3,0,0.468120813369751,0.8634344935417175,-0.0037810103967785835
2,hand,4,0,0.459184467792511,0.8760330080986023,-0.0038942310493439436
2,hand,5,0,0.47857901453971863,0.8827024102210999,-4.8620859161019325e-05
2,hand,6,0,0.46642282605171204,0.8959007263183594,-0.0008344929083250463
2,hand,7,0,0.4681110084056854,0.8867359161376953,-0.0016150412848219275
2,hand,8,0,0.4720686376094818,0.8789733052253723,-0.0019179506925866008
2,hand,9,0,0.4865903854370117,0.8972107172012329,0.00044246914330869913
2,hand,10,0,0.4743756353855133,0.9072186946868896,0.0015122436452656984
2,hand,11,0,0.4750097095966339,0.8979731798171997,0.0015091215027496219
2,hand,12,0,0.4786417484283447,0.8908436298370361,0.001023441320285201
2,hand,13,0,0.4949294626712799,0.9050862789154053,0.0007756127743050456
2,hand,14,0,0.48292645812034607,0.916165828704834,0.0017910337774083018
2,hand,15,0,0.4829036295413971,0.9075517058372498,0.0033125332556664944
2,hand,16,0,0.48660048842430115,0.8994961380958557,0.0037496541626751423
2,hand,17,0,0.5025602579116821,0.908897876739502,0.0009873462840914726
2,hand,18,0,0.49254801869392395,0.9193131327629089,0.002128365682438016
2,hand,19,0,0.49209824204444885,0.9123204946517944,0.004596003796905279
2,hand,20,0,0.4949198365211487,0.905347466468811,0.006407742854207754
2,pose,0,-1,0.49301427602767944,0.2536044716835022,-0.4913792312145233
2,pose,1,-1,0.5037156939506531,0.2291875034570694,-0.4684205949306488
2,pose,2,-1,0.5097073912620544,0.22910736501216888,-0.46845048666000366
2,pose,3,-1,0.5144798159599304,0.2294439971446991,-0.4684705436229706
2,pose,4,-1,0.4835510551929474,0.23078523576259613,-0.4675793945789337
2,pose,5,-1,0.47783130407333374,0.2313687652349472,-0.46767526865005493
2,pose,6,-1,0.4731285274028778,0.2318757325410843,-0.4678860306739807
2,pose,7,-1,0.5231387615203857,0.24193646013736725,-0.3245428800582886
2,pose,8,-1,0.46805351972579956,0.24525299668312073,-0.318480908870697
2,pose,9,-1,0.5068275928497314,0.2873189151287079,-0.4369701147079468
2,pose,10,-1,0.4829389452934265,0.288440465927124,-0.4351571500301361
2,pose,11,-1,0.5758196711540222,0.4320078194141388,-0.22092729806900024
2,pose,12,-1,0.4188702404499054,0.4311315715312958,-0.24570904672145844
2,pose,13,-1,0.582226037979126,0.6528117656707764,-0.19486267864704132
2,pose,14,-1,0.40602344274520874,0.6539314389228821,-0.24887864291667938
2,pose,15,-1,0.5292395353317261,0.8125411868095398,-0.33877626061439514
2,pose,16,-1,0.4601772725582123,0.8167454600334167,-0.38431844115257263
