frame,part,index,hand_index,x,y,z
1,hand,0,0,0.3956209421157837,0.8279433250427246,-3.3532682408576875e-08
1,hand,1,0,0.41256392002105713,0.8423799276351929,-0.003384312381967902
1,hand,2,0,0.4205314815044403,0.8667296767234802,-0.004258683416992426
1,hand,3,0,0.4224751889705658,0.8914598822593689,-0.004436010029166937
1,hand,4,0,0.42553165555000305,0.9094847440719604,-0.003978247754275799
1,hand,5,0,0.40913495421409607,0.8886765837669373,-0.002623501233756542
1,hand,6,0,0.4156769812107086,0.9166486859321594,-0.0034764250740408897
1,hand,7,0,0.42068639397621155,0.9295855760574341,-0.004161588381975889
1,hand,8,0,0.42512500286102295,0.9391517639160156,-0.004468176979571581
1,hand,9,0,0.4001786410808563,0.8918741941452026,-0.0012781714322045445
1,hand,10,0,0.40825051069259644,0.9194506406784058,-0.0014501994010061026
1,hand,11,0,0.41592592000961304,0.9268428683280945,-0.0011477053631097078
1,hand,12,0,0.4209543466567993,0.9293522834777832,-0.0009138142340816557
1,hand,13,0,0.394256591796875,0.8909903764724731,-0.0001678890985203907
1,hand,14,0,0.40147826075553894,0.916556179523468,-0.00019440814503468573
1,hand,15,0,0.4090375304222107,0.922814667224884,0.0010568526340648532
1,hand,16,0,0.41387349367141724,0.9234848618507385,0.0019905564840883017
1,hand,17,0,0.3908807933330536,0.888334333896637,0.0005166284390725195
1,hand,18,0,0.39492225646972656,0.9098516702651978,0.0010407110676169395
1,hand,19,0,0.4013976454734802,0.9169571399688721,0.0024435194209218025
1,hand,20,0,0.4063042104244232,0.9180037975311279,0.003676957916468382
1,hand,0,1,0.5638138651847839,0.8167852759361267,8.835496601022896e-08
1,hand,1,1,0.5484715700149536,0.8313698768615723,-0.0029083164408802986
1,hand,2,1,0.5403182506561279,0.8574888706207275,-0.0037021858152002096
1,hand,3,1,0.5360986590385437,0.8823918104171753,-0.0035823045764118433
1,hand,4,1,0.5316990613937378,0.9001330733299255,-0.002868644893169403
1,hand,5,1,0.5510941743850708,0.8828639984130859,-0.0033055092208087444
1,hand,6,1,0.5451717972755432,0.9142721891403198,-0.0035470055881887674
1,hand,7,1,0.540524423122406,0.9274690747261047,-0.0032477909699082375
1,hand,8,1,0.5368741154670715,0.9368597865104675,-0.0028380542062222958
1,hand,9,1,0.5602060556411743,0.8849755525588989,-0.0017884387634694576
1,hand,10,1,0.5530360341072083,0.9165748357772827,-0.0016142000677064061
1,hand,11,1,0.5462180972099304,0.925468921661377,-0.0007726597250439227
1,hand,12,1,0.5408820509910583,0.9293319582939148,-4.8143640015041456e-05
1,hand,13,1,0.5667417645454407,0.882340669631958,-0.00023064114793669432
1,hand,14,1,0.5604090094566345,0.9113302230834961,0.0004208036116324365
1,hand,15,1,0.5537520051002502,0.9185009598731995,0.0018423838773742318
1,hand,16,1,0.5485789179801941,0.9207689762115479,0.002707303734496236
1,hand,17,1,0.5709612965583801,0.8776988387107849,0.0010571175953373313
1,hand,18,1,0.5668385624885559,0.9025969505310059,0.0023515750654041767
1,hand,19,1,0.5614686608314514,0.9093284606933594,0.00451414892449975
1,hand,20,1,0.5571648478507996,0.9102805256843567,0.006233080290257931
1,pose,0,-1,0.47505754232406616,0.20671147108078003,-0.4748445749282837
1,pose,1,-1,0.4850315749645233,0.1808537244796753,-0.4521563947200775
1,pose,2,-1,0.4900023639202118,0.18128454685211182,-0.452232301235199
1,pose,3,-1,0.49518081545829773,0.18132400512695312,-0.4522568881511688
1,pose,4,-1,0.46625444293022156,0.18204516172409058,-0.4534371495246887
1,pose,5,-1,0.4604286551475525,0.1833818554878235,-0.453498512506485
1,pose,6,-1,0.45519188046455383,0.18435752391815186,-0.4536881744861603
1,pose,7,-1,0.5036139488220215,0.1938214898109436,-0.3026985824108124
1,pose,8,-1,0.44920814037323,0.199621319770813,-0.30762961506843567
1,pose,9,-1,0.48695114254951477,0.23664164543151855,-0.41884109377861023
1,pose,10,-1,0.46436721086502075,0.23886775970458984,-0.42011621594429016
1,pose,11,-1,0.5603474974632263,0.3800172507762909,-0.19911342859268188
1,pose,12,-1,0.4065258800983429,0.38521039485931396,-0.23269715905189514
1,pose,13,-1,0.5720494985580444,0.6117078065872192,-0.14681771397590637
1,pose,14,-1,0.3925928473472595,0.6164001822471619,-0.22020331025123596
1,pose,15,-1,0.5638502240180969,0.8082571029663086,-0.2989794909954071
1,pose,16,-1,0.4020625650882721,0.816061794757843,-0.369686484336853
1,pose,17,-1,0.564887285232544,0.8746805787086487,-0.3528914749622345
1,pose,18,-1,0.4042496383190155,0.8837112784385681,-0.4177723228931427
1,pose,19,-1,0.5523053407669067,0.8721728920936584,-0.3896302878856659
1,pose,20,-1,0.4167080521583557,0.8790906071662903,-0.4627592861652374
1,pose,21,-1,0.5478194355964661,0.8575406670570374,-0.3165924847126007
1,pose,22,-1,0.41868144273757935,0.8599910736083984,-0.3895765244960785
1,pose,23,-1,0.5240193009376526,0.7779926657676697,0.007918663322925568
1,pose,24,-1,0.43682733178138733,0.7810577750205994,-0.00752891693264246
1,pose,25,-1,0.519818127155304,1.0685464143753052,-0.018411513417959213
1,pose,26,-1,0.4486200213432312,1.018864393234253,0.015362938866019249
1,pose,27,-1,0.52399742603302,1.2883446216583252,0.34204959869384766
1,pose,28,-1,0.44975146651268005,1.2920409440994263,0.33395010232925415
1,pose,29,-1,0.522997260093689,1.3200175762176514,0.3686223328113556
1,pose,30,-1,0.45067325234413147,1.3228498697280884,0.3601120412349701
1,pose,31,-1,0.5240051746368408,1.3767428398132324,0.20630650222301483
1,pose,32,-1,0.46030718088150024,1.379744529724121,0.18061570823192596
2,hand,0,0,0.39587587118148804,0.8296874761581421,-1.9407176310437535e-08
2,hand,1,0,0.4122409522533417,0.8413023948669434,-0.003443779656663537
2,hand,2,0,0.4200354814529419,0.8663781881332397,-0.004164284095168114
2,hand,3,0,0.42188143730163574,0.8912856578826904,-0.004072787705808878
2,hand,4,0,0.42473241686820984,0.9094460010528564,-0.003411424346268177
2,hand,5,0,0.40913471579551697,0.8880942463874817,-0.003498341189697385
2,hand,6,0,0.4152396619319916,0.9166617393493652,-0.0043549807742238045
2,hand,7,0,0.4203086197376251,0.9292997717857361,-0.004934945143759251
2,hand,8,0,0.4249221980571747,0.9388821721076965,-0.005162881221622229
2,hand,9,0,0.4003600776195526,0.8908569812774658,-0.002040605526417494
2,hand,10,0,0.40841925144195557,0.919000506401062,-0.002411491936072707
2,hand,11,0,0.4164116382598877,0.9274386167526245,-0.0021828121971338987
2,hand,12,0,0.4220408797264099,0.9305305480957031,-0.0019302204018458724
2,hand,13,0,0.3946252465248108,0.8895533084869385,-0.0007440739427693188
2,hand,14,0,0.4019075632095337,0.9162124395370483,-0.0011882162652909756
2,hand,15,0,0.40942731499671936,0.9234319925308228,-0.00045277917524799705
