frame,part,index,hand_index,x,y,z
1,hand,0,0,0.5423765778541565,0.7314530611038208,6.882423519982694e-08
1,hand,1,0,0.5299713015556335,0.7406664490699768,-0.007318815682083368
1,hand,2,0,0.5229883193969727,0.7648354768753052,-0.008926530368626118
1,hand,3,0,0.5185459852218628,0.7860850691795349,-0.009013667702674866
1,hand,4,0,0.5131226778030396,0.8014500141143799,-0.008396176621317863
1,hand,5,0,0.5328707098960876,0.788920521736145,-0.005141564644873142
1,hand,6,0,0.5262682437896729,0.8153616189956665,-0.006851424928754568
1,hand,7,0,0.5216649174690247,0.8297762870788574,-0.007971502840518951
1,hand,8,0,0.5182238221168518,0.8408336639404297,-0.008589214645326138
1,hand,9,0,0.5376138091087341,0.7906494736671448,-0.0018212078139185905
1,hand,10,0,0.5315048694610596,0.8165713548660278,-0.0037753351498395205
1,hand,11,0,0.5264189839363098,0.8305820226669312,-0.004802372306585312
1,hand,12,0,0.5220487713813782,0.8415939807891846,-0.0052112978883087635
1,hand,13,0,0.5396167635917664,0.7897186875343323,0.0008938626269809902
1,hand,14,0,0.5337896943092346,0.8134557604789734,-0.0008770761196501553
1,hand,15,0,0.5289013981819153,0.8269484639167786,-0.001675185514613986
1,hand,16,0,0.5244133472442627,0.8379608392715454,-0.0018742198590189219
1,hand,17,0,0.5397400856018066,0.7874438762664795,0.002951164962723851
1,hand,18,0,0.5346112251281738,0.8076690435409546,0.001937658991664648
1,hand,19,0,0.5301920175552368,0.819647490978241,0.0016747904010117054
1,hand,20,0,0.5259698033332825,0.828320324420929,0.0017699830932542682
1,hand,0,1,0.38636961579322815,0.7355366349220276,-3.0208646251139726e-08
1,hand,1,1,0.40231138467788696,0.7416170835494995,-0.004351284820586443
1,hand,2,1,0.41061028838157654,0.7662231922149658,-0.004906554240733385
1,hand,3,1,0.4137656092643738,0.7904883027076721,-0.004248457495123148
1,hand,4,1,0.4179244041442871,0.8070160746574402,-0.0030888633336871862
1,hand,5,1,0.39920398592948914,0.786325216293335,-0.004648580681532621
1,hand,6,1,0.4077646732330322,0.8111435770988464,-0.005234311334788799
1,hand,7,1,0.41289806365966797,0.8231800198554993,-0.005381486378610134
1,hand,8,1,0.4168871343135834,0.8330446481704712,-0.005411623045802116
1,hand,9,1,0.3912656009197235,0.7927711606025696,-0.002780517563223839
1,hand,10,1,0.40166977047920227,0.8178339004516602,-0.0027976229321211576
1,hand,11,1,0.4085622727870941,0.8296440839767456,-0.0027863718569278717
1,hand,12,1,0.41351503133773804,0.8379608988761902,-0.0030170059762895107
1,hand,13,1,0.38626036047935486,0.7950564026832581,-0.0011269786627963185
1,hand,14,1,0.3959759473800659,0.8182697892189026,-0.0018712886376306415
1,hand,15,1,0.4031122326850891,0.8276650309562683,-0.0023413982708007097
1,hand,16,1,0.4083103537559509,0.8326695561408997,-0.002632808405905962
1,hand,17,1,0.3837512135505676,0.7950815558433533,0.00020994190708734095
1,hand,18,1,0.3905039131641388,0.8128589391708374,-0.0005567716434597969
1,hand,19,1,0.39686551690101624,0.8201373219490051,-0.0008381434017792344
1,hand,20,1,0.4021894633769989,0.8232842683792114,-0.0008980499114841223
1,pose,0,-1,0.45639392733573914,0.16098928451538086,-0.35407108068466187
1,pose,1,-1,0.4661608636379242,0.1351516842842102,-0.3313765227794647
1,pose,2,-1,0.4709232449531555,0.13510149717330933,-0.3315041959285736
1,pose,3,-1,0.4758930504322052,0.13537120819091797,-0.331618994474411
1,pose,4,-1,0.44802218675613403,0.1369568109512329,-0.33281680941581726
1,pose,5,-1,0.4419548809528351,0.13815277814865112,-0.33286064863204956
1,pose,6,-1,0.436585396528244,0.13962578773498535,-0.3330124020576477
1,pose,7,-1,0.4830986559391022,0.14825141429901123,-0.1946871131658554
1,pose,8,-1,0.43160930275917053,0.15429866313934326,-0.20073175430297852
1,pose,9,-1,0.4680658280849457,0.18994539976119995,-0.3024460971355438
1,pose,10,-1,0.44577664136886597,0.19297820329666138,-0.30425599217414856
1,pose,11,-1,0.5304306149482727,0.318866103887558,-0.10893993824720383
1,pose,12,-1,0.393118292093277,0.32416027784347534,-0.14191021025180817
1,pose,13,-1,0.5428155660629272,0.5320026278495789,-0.055728085339069366
1,pose,14,-1,0.38242584466934204,0.5362115502357483,-0.1268933117389679
1,pose,15,-1,0.5422334671020508,0.7203809022903442,-0.1871899515390396
1,pose,16,-1,0.3915446400642395,0.7267392873764038,-0.24504341185092926
1,pose,17,-1,0.5435414910316467,0.7724187970161438,-0.2346421778202057
1,pose,18,-1,0.39381930232048035,0.7863626480102539,-0.2847636342048645
1,pose,19,-1,0.533374547958374,0.7658120393753052,-0.26694291830062866
1,pose,20,-1,0.40558165311813354,0.7808176875114441,-0.3241141736507416
1,pose,21,-1,0.5307400822639465,0.7477564215660095,-0.20218995213508606
1,pose,22,-1,0.40771687030792236,0.7600573301315308,-0.2616541087627411
1,pose,23,-1,0.49989408254623413,0.6906360983848572,0.010560945607721806
1,pose,24,-1,0.42350560426712036,0.6972854733467102,-0.010364052839577198
1,pose,25,-1,0.5042072534561157,0.9612340927124023,-0.06717170774936676
1,pose,26,-1,0.43436044454574585,0.968569815158844,-0.01299315970391035
1,pose,27,-1,0.5207149386405945,1.1699495315551758,0.302973210811615
1,pose,28,-1,0.4412776231765747,1.1543961763381958,0.3370194137096405
1,pose,29,-1,0.5205504894256592,1.1967942714691162,0.33319875597953796
1,pose,30,-1,0.442749559879303,1.1784121990203857,0.36876973509788513
1,pose,31,-1,0.5240654945373535,1.2609059810638428,0.19988884031772614
1,pose,32,-1,0.4518752992153168,1.2379076480865479,0.22780315577983856
2,hand,0,0,0.5426988005638123,0.7296563386917114,1.0126131400056693e-07
2,hand,1,0,0.5305331945419312,0.7377490401268005,-0.008046602830290794
2,hand,2,0,0.5238984823226929,0.7617297172546387,-0.01005624234676361
2,hand,3,0,0.5192916989326477,0.7835514545440674,-0.010304223746061325
2,hand,4,0,0.5143718123435974,0.7996993064880371,-0.009840501472353935
2,hand,5,0,0.533661425113678,0.7856186032295227,-0.0060929362662136555
2,hand,6,0,0.5270968675613403,0.8118266463279724,-0.007910842075943947
2,hand,7,0,0.5224279165267944,0.8262923955917358,-0.00911204144358635
2,hand,8,0,0.5189289450645447,0.837611973285675,-0.009786872193217278
2,hand,9,0,0.5384771823883057,0.787705659866333,-0.002296327380463481
2,hand,10,0,0.5324764251708984,0.8130151629447937,-0.0046257441863417625
2,hand,11,0,0.527290940284729,0.8274233341217041,-0.005830708891153336
2,hand,12,0,0.5228623747825623,0.8388459086418152,-0.006290624383836985
2,hand,13,0,0.5404365658760071,0.7871865034103394,0.0009151563863269985
2,hand,14,0,0.5346552133560181,0.8103844523429871,-0.0011910826433449984
2,hand,15,0,0.5297158360481262,0.824455201625824,-0.002120032673701644
2,hand,16,0,0.525344967842102,0.8364660739898682,-0.002334852237254381
2,hand,17,0,0.5401235818862915,0.785137951374054,0.00344648864120245
2,hand,18,0,0.5349587202072144,0.8049776554107666,0.0019244439899921417
2,hand,19,0,0.5308498740196228,0.8166258931159973,0.001380033092573285
2,hand,20,0,0.5270305871963501,0.8255615830421448,0.0013995029730722308
2,hand,0,1,0.3858986496925354,0.7325075268745422,-2.8637073157256054e-08
2,hand,1,1,0.4025137722492218,0.7386717200279236,-0.004236480686813593
2,hand,2,1,0.41046449542045593,0.7632875442504883,-0.004393172916024923
2,hand,3,1,0.41312137246131897,0.7873212695121765,-0.003462902270257473
2,hand,4,1,0.4167834520339966,0.8035988807678223,-0.001955985790118575
2,hand,5,1,0.3990793824195862,0.7859432101249695,-0.0023845958057790995
2,hand,6,1,0.40789636969566345,0.8102120161056519,-0.0027300191577523947
2,hand,7,1,0.4130474328994751,0.8220223784446716,-0.003183234017342329
2,hand,8,1,0.4170813262462616,0.8317900896072388,-0.0035200787242501974
2,hand,9,1,0.3911072015762329,0.7909268736839294,-0.00047880859347060323
2,hand,10,1,0.40116071701049805,0.815081775188446,-0.00048120535211637616
2,hand,11,1,0.40817785263061523,0.8270162343978882,-0.0006793627981096506
2,hand,12,1,0.41354599595069885,0.8352741003036499,-0.000972371082752943
2,hand,13,1,0.38622820377349854,0.7921977043151855,0.0009955699788406491
2,hand,14,1,0.3958275020122528,0.8147304654121399,6.07274632784538e-05
2,hand,15,1,0.4029895067214966,0.825676679611206,-0.0007309588836506009
2,hand,16,1,0.40872180461883545,0.8325468897819519,-0.0011612006928771734
2,hand,17,1,0.38390153646469116,0.7917981743812561,0.002129006665199995
2,hand,18,1,0.3905719220638275,0.8104584217071533,0.0009959451854228973
2,hand,19,1,0.3964877426624298,0.8195063471794128,0.00043078334419988096
2,hand,20,1,0.4016270935535431,0.8250633478164673,0.0002566894982010126
2,pose,0,-1,0.4558597207069397,0.16101720929145813,-0.38820183277130127
2,pose,1,-1,0.465681254863739,0.13514697551727295,-0.364834189414978
2,pose,2,-1,0.4708355665206909,0.13509595394134521,-0.3649626672267914
2,pose,3,-1,0.47560930252075195,0.13537417352199554,-0.3650587797164917
2,pose,4,-1,0.44773679971694946,0.13695932924747467,-0.3662584125995636
2,pose,5,-1,0.44186922907829285,0.13815294206142426,-0.3663150370121002
2,pose,6,-1,0.4364733397960663,0.13959789276123047,-0.36643505096435547
2,pose,7,-1,0.48296740651130676,0.14824922382831573,-0.21887359023094177
2,pose,8,-1,0.4316215515136719,0.15383362770080566,-0.2256014347076416
2,pose,9,-1,0.4678751528263092,0.18996118009090424,-0.3333856761455536
2,pose,10,-1,0.4457693099975586,0.19297261536121368,-0.33518126606941223
2,pose,11,-1,0.5306447148323059,0.3188559114933014,-0.11824993044137955
2,pose,12,-1,0.3932070732116699,0.32434219121932983,-0.16185219585895538
2,pose,13,-1,0.5429807901382446,0.5311499238014221,-0.05575970560312271
2,pose,14,-1,0.38224464654922485,0.536489725112915,-0.14246656000614166
2,pose,15,-1,0.5423690676689148,0.7202383875846863,-0.18686352670192719
2,pose,16,-1,0.39108869433403015,0.7265665531158447,-0.2705909311771393
2,pose,17,-1,0.5436527729034424,0.7724739909172058,-0.2346266806125641
2,pose,18,-1,0.39338845014572144,0.786324679851532,-0.3154763877391815
2,pose,19,-1,0.53350430727005,0.766038715839386,-0.26881733536720276
2,pose,20,-1,0.40533190965652466,0.7809545397758484,-0.3552965521812439
2,pose,21,-1,0.5308032631874084,0.7477903962135315,-0.20221568644046783
2,pose,22,-1,0.40756672620773315,0.7603029608726501,-0.2878877520561218
2,pose,23,-1,0.49989381432533264,0.6923309564590454,0.011748943477869034
2,pose,24,-1,0.423435240983963,0.6996576189994812,-0.011553236283361912
2,pose,25,-1,0.5046182870864868,0.9612799882888794,-0.03630466386675835
2,pose,26,-1,0.4341408312320709,0.9685726761817932,-0.01301045436412096
2,pose,27,-1,0.5183466076850891,1.1736340522766113,0.32077065110206604
2,pose,28,-1,0.44579583406448364,1.161828637123108,0.33963021636009216
2,pose,29,-1,0.518022358417511,1.1999447345733643,0.35034191608428955
2,pose,30,-1,0.4490557014942169,1.1818771362304688,0.3722184896469116
2,pose,31,-1,0.5217384696006775,1.2624388933181763,0.22200126945972443
2,pose,32,-1,0.45508071780204773,1.2463741302490234,0.23309853672981262
3,hand,0,0,0.5428066849708557,0.7286435961723328,1.1437485625265253e-07
3,hand,1,0,0.5313649773597717,0.7370198965072632,-0.008950387127697468
3,hand,2,0,0.5247704982757568,0.7611469030380249,-0.011369720101356506
3,hand,3,0,0.5197111368179321,0.7832605242729187,-0.011916451156139374
3,hand,4,0,0.5145614743232727,0.8001245260238647,-0.011847647838294506
3,hand,5,0,0.5352923274040222,0.784003734588623,-0.006552431266754866
3,hand,6,0,0.5284780263900757,0.8100705742835999,-0.008668291382491589
3,hand,7,0,0.5234025120735168,0.8247532844543457,-0.010360261425375938
3,hand,8,0,0.5194770097732544,0.8363365530967712,-0.01138039119541645
3,hand,9,0,0.539529025554657,0.7861548662185669,-0.002384190447628498
3,hand,10,0,0.5333797931671143,0.8110939860343933,-0.004608753602951765
3,hand,11,0,0.527800977230072,0.8260167837142944,-0.006243876181542873
3,hand,12,0,0.5229017734527588,0.8377017378807068,-0.007171481382101774
3,hand,13,0,0.5410321950912476,0.7856420874595642,0.0011052524205297232
3,hand,14,0,0.5351471304893494,0.8086672425270081,-0.0010286549804732203
3,hand,15,0,0.5299382209777832,0.8231666088104248,-0.0024230927228927612
3,hand,16,0,0.525094747543335,0.8351603150367737,-0.0030716117471456528
3,hand,17,0,0.5404501557350159,0.7838789224624634,0.0038329986855387688
3,hand,18,0,0.5351704359054565,0.8040034770965576,0.001969836186617613
3,hand,19,0,0.5308884382247925,0.8161176443099976,0.0010120375081896782
3,hand,20,0,0.5268364548683167,0.8253970146179199,0.0006967646186240017
3,hand,0,1,0.3861047327518463,0.7312883734703064,-2.262433618227533e-08
3,hand,1,1,0.4025716483592987,0.7379573583602905,-0.0037590842694044113
3,hand,2,1,0.41038650274276733,0.7626186013221741,-0.003667512908577919
3,hand,3,1,0.4131712317466736,0.7864161133766174,-0.0025438996963202953
3,hand,4,1,0.4168904423713684,0.8024633526802063,-0.0008864938863553107
3,hand,5,1,0.3999164402484894,0.7858356237411499,-0.0016029367689043283
3,hand,6,1,0.40827661752700806,0.8088504076004028,-0.0016776955453678966
3,hand,7,1,0.4133715033531189,0.8205227851867676,-0.00209192861802876
3,hand,8,1,0.4174332022666931,0.8304589986801147,-0.0024338741786777973
3,hand,9,1,0.39200711250305176,0.7907075881958008,0.0002920385741163045
3,hand,10,1,0.40160924196243286,0.8138706684112549,0.0005867511499673128
3,hand,11,1,0.4085334539413452,0.8259409666061401,0.00043036925490014255
3,hand,12,1,0.4137873947620392,0.8348599672317505,0.0001565417042002082
3,hand,13,1,0.3869590163230896,0.7916499972343445,0.0018085020128637552
3,hand,14,1,0.39597588777542114,0.8135288953781128,0.0012209371197968721
3,hand,15,1,0.4026833176612854,0.8247863054275513,0.0005077611422166228
3,hand,16,1,0.4080377519130707,0.832023561000824,0.0001275595568586141
3,hand,17,1,0.3842754065990448,0.7907973527908325,0.003016779199242592
3,hand,18,1,0.3899485170841217,0.8091878890991211,0.0023126748856157064
3,hand,19,1,0.3954812288284302,0.8183931708335876,0.0019242205889895558
3,hand,20,1,0.4003447890281677,0.8239457607269287,0.0018610632978379726
3,pose,0,-1,0.4558037519454956,0.16089466214179993,-0.3876190185546875
3,pose,1,-1,0.46560436487197876,0.1348363757133484,-0.36391201615333557
3,pose,2,-1,0.470837265253067,0.13476374745368958,-0.3640446364879608
3,pose,3,-1,0.47552353143692017,0.13513660430908203,-0.3641393482685089
3,pose,4,-1,0.4477226436138153,0.13673123717308044,-0.3659883737564087
3,pose,5,-1,0.4418690502643585,0.13794776797294617,-0.3660412132740021
3,pose,6,-1,0.43646928668022156,0.13929133117198944,-0.3661586046218872
3,pose,7,-1,0.4829288125038147,0.14799757301807404,-0.2163817137479782
3,pose,8,-1,0.43162211775779724,0.1530260443687439,-0.22555610537528992
3,pose,9,-1,0.4678696393966675,0.1898506134748459,-0.3320794701576233
3,pose,10,-1,0.44586026668548584,0.19285300374031067,-0.334657222032547
3,pose,11,-1,0.5308083295822144,0.31865695118904114,-0.11764811724424362
3,pose,12,-1,0.39322251081466675,0.3244025707244873,-0.16199162602424622
3,pose,13,-1,0.5431431531906128,0.529559850692749,-0.05183451995253563
3,pose,14,-1,0.38221389055252075,0.5368853211402893,-0.14341895282268524
3,pose,15,-1,0.5425552725791931,0.7199543118476868,-0.18687182664871216
3,pose,16,-1,0.39081886410713196,0.7262951731681824,-0.274929404258728
3,pose,17,-1,0.5438804030418396,0.7723920941352844,-0.2355465143918991
