frame,part,index,hand_index,x,y,z
1,hand,0,0,0.4253806471824646,0.725260317325592,-1.4643628531985087e-08
1,hand,1,0,0.4404532015323639,0.7283610105514526,-0.006011366844177246
1,hand,2,0,0.44900694489479065,0.7488803863525391,-0.007404759991914034
1,hand,3,0,0.4524540603160858,0.771611213684082,-0.007301450241357088
1,hand,4,0,0.4547024965286255,0.7876638770103455,-0.006510826293379068
1,hand,5,0,0.43863266706466675,0.7748167514801025,-0.005311299115419388
1,hand,6,0,0.44763320684432983,0.7988463044166565,-0.006711509078741074
1,hand,7,0,0.4529890716075897,0.8119533658027649,-0.007695327512919903
1,hand,8,0,0.4568193256855011,0.8218308091163635,-0.00823763757944107
1,hand,9,0,0.43132808804512024,0.7809086441993713,-0.0027729093562811613
1,hand,10,0,0.44156110286712646,0.8045597672462463,-0.0038126716390252113
1,hand,11,0,0.44848066568374634,0.8165811896324158,-0.004404713865369558
1,hand,12,0,0.4534725546836853,0.8249238729476929,-0.0047342050820589066
1,hand,13,0,0.42689695954322815,0.7831984758377075,-0.0006698782090097666
1,hand,14,0,0.4364256262779236,0.8046448826789856,-0.002187708392739296
1,hand,15,0,0.4436391592025757,0.8148666024208069,-0.0028532114811241627
1,hand,16,0,0.4488098919391632,0.821540355682373,-0.0030001583509147167
1,hand,17,0,0.42489537596702576,0.7837113738059998,0.000977782066911459
1,hand,18,0,0.43269187211990356,0.8008332848548889,-0.0005723849753849208
1,hand,19,0,0.439287930727005,0.8083093762397766,-0.000980388023890555
1,hand,20,0,0.4443049430847168,0.8128253221511841,-0.0008275454165413976
1,hand,0,1,0.5689994096755981,0.7295953035354614,1.3146940602837276e-07
1,hand,1,1,0.5567442178726196,0.7333928346633911,-0.008737386204302311
1,hand,2,1,0.5482836365699768,0.7539846897125244,-0.012086470611393452
1,hand,3,1,0.5431185364723206,0.7766749262809753,-0.01351622212678194
1,hand,4,1,0.5377289652824402,0.7938342094421387,-0.01438316609710455
