frame,part,index,hand_index,x,y,z
1,hand,0,0,0.4403010606765747,0.7256263494491577,-1.4030189277036698e-07
1,hand,1,0,0.4535902440547943,0.7386081218719482,-0.0050072018057107925
1,hand,2,0,0.4610307812690735,0.7603601217269897,-0.006779755000025034
1,hand,3,0,0.4650045931339264,0.7790611982345581,-0.006949877832084894
1,hand,4,0,0.46468695998191833,0.7888873219490051,-0.006253354717046022
1,hand,5,0,0.4426597058773041,0.7808194756507874,-0.009463457390666008
1,hand,6,0,0.4558001756668091,0.7997068762779236,-0.008626888506114483
1,hand,7,0,0.46015167236328125,0.7887428402900696,-0.006221667397767305
1,hand,8,0,0.4593537747859955,0.7783436179161072,-0.004642842803150415
1,hand,9,0,0.4363483488559723,0.7827407121658325,-0.00615629181265831
1,hand,10,0,0.45079562067985535,0.7951880693435669,-0.006015624385327101
1,hand,11,0,0.45458748936653137,0.7844253778457642,-0.0047768899239599705
1,hand,12,0,0.45326754450798035,0.7760598659515381,-0.004398982040584087
1,hand,13,0,0.43300944566726685,0.7808806896209717,-0.0023312680423259735
1,hand,14,0,0.4466661810874939,0.7920475006103516,-0.0028203458059579134
1,hand,15,0,0.44984036684036255,0.7830952405929565,-0.0018257098272442818
1,hand,16,0,0.4483751356601715,0.7738938331604004,-0.001473324024118483
1,hand,17,0,0.4322604835033417,0.7778111696243286,0.001469169044867158
1,hand,18,0,0.44282129406929016,0.7872757911682129,0.00017862067034002393
1,hand,19,0,0.4453991949558258,0.7804978489875793,0.0006815862143412232
1,hand,20,0,0.444089412689209,0.7732815742492676,0.0013025911757722497
1,hand,0,1,0.5857075452804565,0.7229767441749573,7.39019938578167e-08
1,hand,1,1,0.5742003917694092,0.7341465950012207,-0.00877592246979475
1,hand,2,1,0.5686532855033875,0.7571029663085938,-0.011812630109488964
1,hand,3,1,0.5650400519371033,0.780835747718811,-0.013008692301809788
1,hand,4,1,0.5616037249565125,0.7998359203338623,-0.013246788643300533
1,hand,5,1,0.5857141613960266,0.779354453086853,-0.006884824484586716
1,hand,6,1,0.5766722559928894,0.8064318895339966,-0.009119095280766487
1,hand,7,1,0.5681753754615784,0.8083313703536987,-0.010560919530689716
1,hand,8,1,0.5624398589134216,0.8055301308631897,-0.011067078448832035
1,hand,9,1,0.5909830927848816,0.7798240184783936,-0.0025291310157626867
1,hand,10,1,0.5803247690200806,0.8049836754798889,-0.004086467903107405
1,hand,11,1,0.57122403383255,0.8065984845161438,-0.005089065060019493
1,hand,12,1,0.5643467307090759,0.8036654591560364,-0.005566360428929329
1,hand,13,1,0.5926547646522522,0.7774307727813721,0.0012021847069263458
1,hand,14,1,0.5824779868125916,0.7994519472122192,-0.0004408821987453848
1,hand,15,1,0.5739800333976746,0.8025863766670227,-0.0015608539106324315
1,hand,16,1,0.5670502185821533,0.8019421696662903,-0.0021131974644958973
1,hand,17,1,0.5915674567222595,0.7746925950050354,0.00428693788126111
1,hand,18,1,0.5839897990226746,0.7935933470726013,0.002528789918869734
1,hand,19,1,0.5770470499992371,0.7984040379524231,0.0017512181075289845
1,hand,20,1,0.5708716511726379,0.7994180917739868,0.0016902866773307323
1,pose,0,-1,0.5087327361106873,0.19784727692604065,-0.45048782229423523
1,pose,1,-1,0.5185799598693848,0.1753292679786682,-0.43506166338920593
1,pose,2,-1,0.5236901044845581,0.1762399673461914,-0.4350956380367279
1,pose,3,-1,0.5278705358505249,0.17739945650100708,-0.43519333004951477
1,pose,4,-1,0.501861572265625,0.1756502389907837,-0.4334602355957031
1,pose,5,-1,0.4966637194156647,0.1769847869873047,-0.43350276350975037
1,pose,6,-1,0.49189817905426025,0.1779748797416687,-0.4336802065372467
1,pose,7,-1,0.5359209179878235,0.18987685441970825,-0.30972570180892944
1,pose,8,-1,0.48805591464042664,0.18962496519088745,-0.30479347705841064
1,pose,9,-1,0.5203751921653748,0.2242353856563568,-0.40148937702178955
1,pose,10,-1,0.49842631816864014,0.2227310836315155,-0.4002048671245575
1,pose,11,-1,0.5813944339752197,0.335781455039978,-0.2198449969291687
1,pose,12,-1,0.447140634059906,0.3375929594039917,-0.20767764747142792
1,pose,13,-1,0.5949217677116394,0.5311064720153809,-0.15033410489559174
1,pose,14,-1,0.43509751558303833,0.5361043214797974,-0.16152991354465485
1,pose,15,-1,0.5865268707275391,0.716404378414154,-0.25167858600616455
1,pose,16,-1,0.44437214732170105,0.7181171178817749,-0.2721114158630371
1,pose,17,-1,0.5892854928970337,0.7675138115882874,-0.2933599650859833
1,pose,18,-1,0.44381314516067505,0.7701191306114197,-0.3053478002548218
1,pose,19,-1,0.5795917510986328,0.764175534248352,-0.32642558217048645
1,pose,20,-1,0.4536266624927521,0.7630349397659302,-0.3444855809211731
1,pose,21,-1,0.5766225457191467,0.7454854249954224,-0.26564136147499084
1,pose,22,-1,0.4560540020465851,0.7466149926185608,-0.28802427649497986
1,pose,23,-1,0.5505104660987854,0.678679883480072,-0.008315813727676868
1,pose,24,-1,0.4811280071735382,0.681679368019104,0.008421246893703938
