frame,part,index,hand_index,x,y,z
1,hand,0,0,0.39529600739479065,0.8300690054893494,-3.063401265990251e-08
1,hand,1,0,0.41199415922164917,0.842414379119873,-0.0030781375244259834
1,hand,2,0,0.41999292373657227,0.8646349906921387,-0.0042924475856125355
1,hand,3,0,0.42247745394706726,0.8885922431945801,-0.004782760515809059
1,hand,4,0,0.4261816442012787,0.9060581922531128,-0.004579104483127594
1,hand,5,0,0.4098341763019562,0.8844515085220337,-0.003796452423557639
1,hand,6,0,0.4165170192718506,0.9141749739646912,-0.00529815349727869
1,hand,7,0,0.4222234785556793,0.9248157739639282,-0.0059167081490159035
1,hand,8,0,0.4267069697380066,0.9306380152702332,-0.005830415058881044
1,hand,9,0,0.4012828767299652,0.8878587484359741,-0.0026708655059337616
1,hand,10,0,0.40887561440467834,0.9185338616371155,-0.0034998971968889236
1,hand,11,0,0.41618087887763977,0.9253370761871338,-0.0029440331272780895
1,hand,12,0,0.4210357069969177,0.9261202216148376,-0.0022819507867097855
1,hand,13,0,0.39525189995765686,0.8874019384384155,-0.001695423386991024
1,hand,14,0,0.4018632173538208,0.9159166812896729,-0.001919061061926186
1,hand,15,0,0.4087912440299988,0.9218245148658752,-9.273576142732054e-05
1,hand,16,0,0.41337138414382935,0.921815037727356,0.0013758771819993854
1,hand,17,0,0.3912692964076996,0.8846461176872253,-0.0010828669182956219
1,hand,18,0,0.39486587047576904,0.9076336622238159,-0.00026882492238655686
1,hand,19,0,0.4006345272064209,0.9139049053192139,0.0017453170148655772
1,hand,20,0,0.4050883948802948,0.9137272834777832,0.0034412534441798925
1,hand,0,1,0.559646487236023,0.8173137903213501,7.892222697591933e-08
1,hand,1,1,0.5451449751853943,0.8220612406730652,-0.006189089734107256
1,hand,2,1,0.5349572896957397,0.8450188636779785,-0.007228956092149019
1,hand,3,1,0.5282113552093506,0.8659746646881104,-0.00687119085341692
1,hand,4,1,0.5214831829071045,0.8803654909133911,-0.005855722818523645
1,hand,5,1,0.5422500371932983,0.8714296221733093,-0.0035575502552092075
1,hand,6,1,0.5339219570159912,0.8954490423202515,-0.004402865190058947
1,hand,7,1,0.5292783379554749,0.9081817865371704,-0.00519391568377614
1,hand,8,1,0.526048481464386,0.9186590313911438,-0.005798831582069397
1,hand,9,1,0.5479607582092285,0.8760457634925842,-0.000657742319162935
1,hand,10,1,0.5397675633430481,0.8998345136642456,-0.0014218505239114165
1,hand,11,1,0.53416907787323,0.9127397537231445,-0.002098719822242856
1,hand,12,1,0.5297026634216309,0.9235084652900696,-0.0025348886847496033
1,hand,13,1,0.5510790944099426,0.8761930465698242,0.0016999115468934178
1,hand,14,1,0.5438458323478699,0.8984834551811218,0.0008766349055804312
1,hand,15,1,0.5384893417358398,0.9107859134674072,0.00015240315406117588
1,hand,16,1,0.5339682102203369,0.9214549660682678,-0.000313572003506124
1,hand,17,1,0.5522533655166626,0.8738359212875366,0.003472650656476617
