frame,part,index,hand_index,x,y,z
1,hand,0,0,0.44011634588241577,0.7231749892234802,-1.532175133434066e-07
1,hand,1,0,0.4541223347187042,0.7363999485969543,-0.004700262099504471
1,hand,2,0,0.4631232023239136,0.7583482265472412,-0.006608416326344013
1,hand,3,0,0.4679361581802368,0.7767069339752197,-0.007225897628813982
1,hand,4,0,0.46643540263175964,0.7865643501281738,-0.007048578001558781
1,hand,5,0,0.4444027543067932,0.7794734239578247,-0.008615451864898205
1,hand,6,0,0.45843401551246643,0.7981446385383606,-0.008576669730246067
1,hand,7,0,0.4636196792125702,0.7866206169128418,-0.0071345423348248005
1,hand,8,0,0.46312183141708374,0.7753219604492188,-0.006210204679518938
1,hand,9,0,0.4378953278064728,0.7821822166442871,-0.005918189883232117
1,hand,10,0,0.45358210802078247,0.7944256663322449,-0.0065283505246043205
1,hand,11,0,0.457646906375885,0.7832115292549133,-0.0058899219147861
1,hand,12,0,0.4562799334526062,0.7745474576950073,-0.005821518134325743
1,hand,13,0,0.4342179298400879,0.7808824777603149,-0.0028088800609111786
1,hand,14,0,0.44903525710105896,0.7925607562065125,-0.0039012664929032326
1,hand,15,0,0.45239973068237305,0.7832757234573364,-0.0031473166309297085
1,hand,16,0,0.4509465992450714,0.7739983201026917,-0.00283413240686059
1,hand,17,0,0.43316832184791565,0.7780356407165527,0.0002524645533412695
1,hand,18,0,0.44477730989456177,0.787793755531311,-0.0014720502076670527
1,hand,19,0,0.44767680764198303,0.7808558940887451,-0.0010211752960458398
1,hand,20,0,0.4464862048625946,0.7734149098396301,-0.00034006149508059025
1,hand,0,1,0.5787650346755981,0.7241553068161011,8.157502406902495e-08
1,hand,1,1,0.5662233233451843,0.7285891771316528,-0.0061780428513884544
1,hand,2,1,0.5573370456695557,0.747512698173523,-0.00902508944272995
1,hand,3,1,0.5517969727516174,0.768092691898346,-0.010349091142416
1,hand,4,1,0.5468531847000122,0.7838247418403625,-0.011153139173984528
1,hand,5,1,0.5695593357086182,0.7727548480033875,-0.009810952469706535
1,hand,6,1,0.5586032867431641,0.796296238899231,-0.012651761993765831
1,hand,7,1,0.5504513382911682,0.7997366189956665,-0.01347542554140091
1,hand,8,1,0.5447518229484558,0.7994862794876099,-0.013506490737199783
1,hand,9,1,0.57611083984375,0.7780332565307617,-0.007204045541584492
1,hand,10,1,0.5641953349113464,0.8038769364356995,-0.009572867304086685
1,hand,11,1,0.5549045205116272,0.8054615259170532,-0.009456959553062916
1,hand,12,1,0.5490326285362244,0.8030292391777039,-0.00899931788444519
1,hand,13,1,0.5802116394042969,0.7785521745681763,-0.004674441181123257
1,hand,14,1,0.5712267756462097,0.8046664595603943,-0.006368155125528574
1,hand,15,1,0.5621012449264526,0.8061789870262146,-0.005878944415599108
1,hand,16,1,0.5560045838356018,0.8033435344696045,-0.005322326440364122
1,hand,17,1,0.5824681520462036,0.7760891914367676,-0.0025382929015904665
1,hand,18,1,0.5772301554679871,0.7991397380828857,-0.003577818861231208
1,hand,19,1,0.5707486271858215,0.8036953210830688,-0.0029400864150375128
1,hand,20,1,0.5659911036491394,0.8026706576347351,-0.002140169497579336
1,pose,0,-1,0.5065443515777588,0.1973501741886139,-0.40324899554252625
1,pose,1,-1,0.5159741044044495,0.1732114553451538,-0.3854186236858368
1,pose,2,-1,0.5218203663825989,0.17352956533432007,-0.38548585772514343
1,pose,3,-1,0.5258952975273132,0.17390865087509155,-0.38556525111198425
1,pose,4,-1,0.49954304099082947,0.17326128482818604,-0.38322246074676514
1,pose,5,-1,0.4942857325077057,0.17356222867965698,-0.38326501846313477
1,pose,6,-1,0.49022573232650757,0.1742725372314453,-0.38344627618789673
1,pose,7,-1,0.5339529514312744,0.1865706443786621,-0.25696319341659546
1,pose,8,-1,0.4865683317184448,0.1878311038017273,-0.24882112443447113
1,pose,9,-1,0.5188344717025757,0.22240278124809265,-0.35444727540016174
1,pose,10,-1,0.4966804087162018,0.22143778204917908,-0.35220178961753845
1,pose,11,-1,0.5818770527839661,0.34357932209968567,-0.1759057492017746
1,pose,12,-1,0.4460633099079132,0.3377308249473572,-0.16722773015499115
1,pose,13,-1,0.5974705219268799,0.5403478145599365,-0.12442337721586227
1,pose,14,-1,0.4339630901813507,0.5371614694595337,-0.13704685866832733
1,pose,15,-1,0.5805583596229553,0.7244722247123718,-0.24628642201423645
1,pose,16,-1,0.44624513387680054,0.7193925380706787,-0.26372238993644714
1,pose,17,-1,0.5804839730262756,0.7758388519287109,-0.2951304316520691
1,pose,18,-1,0.44824063777923584,0.7729785442352295,-0.3011428117752075
1,pose,19,-1,0.5684143304824829,0.7704841494560242,-0.3258890211582184
1,pose,20,-1,0.45965662598609924,0.7657526731491089,-0.33980587124824524
1,pose,21,-1,0.5654011964797974,0.7538774609565735,-0.25979354977607727
1,pose,22,-1,0.46134382486343384,0.7494533658027649,-0.2799123525619507
1,pose,23,-1,0.5478312373161316,0.6950362324714661,-0.0032147958409041166
1,pose,24,-1,0.4771385192871094,0.6962733268737793,0.0033946982584893703
1,pose,25,-1,0.5459355115890503,0.9593456983566284,-0.047672562301158905
1,pose,26,-1,0.4869818091392517,0.94700026512146,0.017073070630431175
1,pose,27,-1,0.5496207475662231,1.1545644998550415,0.2650889456272125
1,pose,28,-1,0.4948956370353699,1.1365489959716797,0.29569244384765625
1,pose,29,-1,0.5493788123130798,1.1800627708435059,0.2892408072948456
1,pose,30,-1,0.497648686170578,1.1613280773162842,0.31856223940849304
1,pose,31,-1,0.551744282245636,1.2356668710708618,0.1614604890346527
1,pose,32,-1,0.4970073699951172,1.2153723239898682,0.17350491881370544
2,hand,0,0,0.4387904703617096,0.7221837043762207,-1.1348195982918696e-07
2,hand,1,0,0.4531315565109253,0.7340020537376404,-0.005238183308392763
2,hand,2,0,0.4621666371822357,0.7547373175621033,-0.0074251326732337475
2,hand,3,0,0.46742597222328186,0.7738090753555298,-0.008214596658945084
2,hand,4,0,0.46722832322120667,0.7848562598228455,-0.00793770793825388
2,hand,5,0,0.4449220597743988,0.7783424258232117,-0.008254294283688068
2,hand,6,0,0.4585864245891571,0.7968651652336121,-0.008394337259232998
2,hand,7,0,0.4618077278137207,0.7843266725540161,-0.006810411810874939
2,hand,8,0,0.4597287178039551,0.773551344871521,-0.005654179025441408
