frame,part,index,hand_index,x,y,z
1,hand,0,0,0.4398267865180969,0.7259364128112793,-1.3365838924528362e-07
1,hand,1,0,0.4535161852836609,0.7378794550895691,-0.008045372553169727
1,hand,2,0,0.4613834023475647,0.7598869204521179,-0.011071315966546535
1,hand,3,0,0.4673740267753601,0.7805657982826233,-0.012009235098958015
1,hand,4,0,0.47056931257247925,0.79701167345047,-0.011855761520564556
1,hand,5,0,0.44206470251083374,0.7805402874946594,-0.010999873280525208
1,hand,6,0,0.4571966230869293,0.7998396158218384,-0.011961267329752445
1,hand,7,0,0.4600712060928345,0.7859480381011963,-0.011217870749533176
1,hand,8,0,0.4570651650428772,0.7755209803581238,-0.010576396249234676
1,hand,9,0,0.436493843793869,0.7833242416381836,-0.006356822792440653
1,hand,10,0,0.4525989890098572,0.7983365654945374,-0.007862698286771774
1,hand,11,0,0.4557531774044037,0.7856112718582153,-0.007530029863119125
1,hand,12,0,0.4528600871562958,0.7773420810699463,-0.007504232693463564
1,hand,13,0,0.4341944456100464,0.7819786667823792,-0.0016219373792409897
1,hand,14,0,0.4491949677467346,0.7963439226150513,-0.003747104899957776
1,hand,15,0,0.4522668719291687,0.7856819033622742,-0.002962537109851837
1,hand,16,0,0.449281245470047,0.7770298719406128,-0.002335537923499942
1,hand,17,0,0.4343940019607544,0.7801358103752136,0.0028722556307911873
1,hand,18,0,0.4458705484867096,0.7918627262115479,0.0002029099123319611
1,hand,19,0,0.448528915643692,0.7838658690452576,0.000317204772727564
1,hand,20,0,0.4458250403404236,0.7764195203781128,0.0009389524348080158
1,hand,0,1,0.590248167514801,0.728992223739624,6.999229640314297e-08
1,hand,1,1,0.5787938237190247,0.742053210735321,-0.005953803658485413
1,hand,2,1,0.5741570591926575,0.7656327486038208,-0.007329773157835007
1,hand,3,1,0.5718770027160645,0.7878220081329346,-0.0074642072431743145
1,hand,4,1,0.5700957775115967,0.8056269288063049,-0.006639794446527958
1,hand,5,1,0.5911296606063843,0.7842820286750793,-0.0033569373190402985
1,hand,6,1,0.5839003920555115,0.8102540373802185,-0.004777705762535334
1,hand,7,1,0.5763211846351624,0.8133503198623657,-0.005662980489432812
1,hand,8,1,0.5711533427238464,0.8115229606628418,-0.0058037457056343555
1,hand,9,1,0.5962739586830139,0.7838655114173889,-0.0001917314511956647
1,hand,10,1,0.5878211259841919,0.8091224431991577,-0.0012459460413083434
1,hand,11,1,0.5795781016349792,0.8121896386146545,-0.0019850938115268946
1,hand,12,1,0.5734119415283203,0.810036301612854,-0.0022466257214546204
1,hand,13,1,0.5979859828948975,0.7813994288444519,0.002454059896990657
1,hand,14,1,0.5899828672409058,0.8041203022003174,0.0015255884500220418
1,hand,15,1,0.5821316838264465,0.808271586894989,0.0008670086972415447
1,hand,16,1,0.5760645866394043,0.8078593015670776,0.0006246646516956389
1,hand,17,1,0.5968782901763916,0.7790741920471191,0.004614031873643398
1,hand,18,1,0.5909401178359985,0.7982771992683411,0.0038235036190599203
1,hand,19,1,0.5848098397254944,0.8033982515335083,0.0036011957563459873
1,hand,20,1,0.5793799757957458,0.8040339350700378,0.003824686398729682
1,pose,0,-1,0.5105682015419006,0.19860613346099854,-0.39997902512550354
1,pose,1,-1,0.5204721689224243,0.176160991191864,-0.3815694749355316
1,pose,2,-1,0.5253907442092896,0.177137553691864,-0.3816491663455963
1,pose,3,-1,0.5299789309501648,0.17788219451904297,-0.38173893094062805
1,pose,4,-1,0.5035619139671326,0.17581725120544434,-0.3809252679347992
1,pose,5,-1,0.49797746539115906,0.17651653289794922,-0.3809666931629181
1,pose,6,-1,0.4931262135505676,0.17716377973556519,-0.3811172842979431
1,pose,7,-1,0.5372084975242615,0.1901639699935913,-0.25363725423812866
1,pose,8,-1,0.4878588914871216,0.18904608488082886,-0.25278937816619873
1,pose,9,-1,0.5216206908226013,0.2247815728187561,-0.3509819805622101
1,pose,10,-1,0.4999089539051056,0.22299101948738098,-0.35089588165283203
1,pose,11,-1,0.5824758410453796,0.3400832712650299,-0.17087723314762115
1,pose,12,-1,0.44774600863456726,0.343147873878479,-0.16270260512828827
1,pose,13,-1,0.5958262085914612,0.5398533344268799,-0.10716908425092697
1,pose,14,-1,0.43595680594444275,0.5411413908004761,-0.12151435762643814
1,pose,15,-1,0.5892328023910522,0.7242658734321594,-0.21860726177692413
1,pose,16,-1,0.4442770183086395,0.719782292842865,-0.23435774445533752
1,pose,17,-1,0.5956628322601318,0.7744643688201904,-0.2607160210609436
1,pose,18,-1,0.4437977373600006,0.7713115215301514,-0.26702040433883667
1,pose,19,-1,0.5854942798614502,0.7736389636993408,-0.293073445558548
1,pose,20,-1,0.4550505578517914,0.7639119029045105,-0.3071194589138031
1,pose,21,-1,0.5811607837677002,0.7566232085227966,-0.2325034886598587
1,pose,22,-1,0.45807310938835144,0.7472814321517944,-0.2508200407028198
1,pose,23,-1,0.5509099960327148,0.6852316856384277,-0.006027589086443186
1,pose,24,-1,0.48093459010124207,0.6890965104103088,0.006112567149102688
1,pose,25,-1,0.5466290712356567,0.9418452382087708,-0.06000367924571037
1,pose,26,-1,0.49081742763519287,0.9353716373443604,-0.0031841523014009
1,pose,27,-1,0.5496797561645508,1.136297345161438,0.24372555315494537
1,pose,28,-1,0.4936228096485138,1.1211268901824951,0.2699950039386749
1,pose,29,-1,0.5500804781913757,1.1590956449508667,0.26623785495758057
1,pose,30,-1,0.4951504170894623,1.1423436403274536,0.29221755266189575
1,pose,31,-1,0.5463418364524841,1.2203340530395508,0.13615547120571136
1,pose,32,-1,0.49880483746528625,1.2022559642791748,0.15065166354179382
2,hand,0,0,0.4373161196708679,0.7249197959899902,-1.0440049891258241e-07
2,hand,1,0,0.4523783326148987,0.7347851991653442,-0.008609631098806858
2,hand,2,0,0.46141400933265686,0.7564576864242554,-0.011834194883704185
2,hand,3,0,0.46733027696609497,0.7786599397659302,-0.012998417019844055
