frame,part,index,hand_index,x,y,z
1,hand,0,0,0.442233145236969,0.7304656505584717,-6.159447707432264e-08
1,hand,1,0,0.4546308219432831,0.7396337985992432,-0.008475410751998425
1,hand,2,0,0.46053943037986755,0.7634084224700928,-0.011356621980667114
1,hand,3,0,0.4626252055168152,0.7864314913749695,-0.011712353676557541
1,hand,4,0,0.4630321264266968,0.8024584650993347,-0.011039767414331436
1,hand,5,0,0.4432198703289032,0.7797169089317322,-0.013561624102294445
1,hand,6,0,0.45013660192489624,0.8117653727531433,-0.01580500230193138
1,hand,7,0,0.4583888053894043,0.8180164098739624,-0.015651339665055275
1,hand,8,0,0.46521276235580444,0.8167223930358887,-0.014609788544476032
1,hand,9,0,0.43700841069221497,0.7804960608482361,-0.00857274979352951
1,hand,10,0,0.44626015424728394,0.8107647895812988,-0.010522088035941124
1,hand,11,0,0.4559195935726166,0.8152430057525635,-0.009929085150361061
1,hand,12,0,0.4630029797554016,0.8126406073570251,-0.009148803539574146
1,hand,13,0,0.43489256501197815,0.7793743014335632,-0.0035544380079954863
1,hand,14,0,0.4442085921764374,0.806285560131073,-0.005382290575653315
1,hand,15,0,0.4529312252998352,0.8101071119308472,-0.004828677512705326
1,hand,16,0,0.4589754045009613,0.8078831434249878,-0.003893015207722783
1,hand,17,0,0.43526291847229004,0.7781366109848022,0.0011446570279076695
1,hand,18,0,0.44282665848731995,0.7997491359710693,-6.796374509576708e-05
1,hand,19,0,0.44995662569999695,0.8047065734863281,0.00047677132533863187
1,hand,20,0,0.4552314579486847,0.803155243396759,0.0014205323532223701
1,hand,0,1,0.5972710251808167,0.7326611280441284,8.154206199151304e-08
1,hand,1,1,0.5869872570037842,0.7426790595054626,-0.008864574134349823
1,hand,2,1,0.5829921364784241,0.7659241557121277,-0.01184171624481678
1,hand,3,1,0.5806581377983093,0.7886281609535217,-0.012738456949591637
1,hand,4,1,0.5781201124191284,0.8070827126502991,-0.012540341354906559
1,hand,5,1,0.599961519241333,0.7837098240852356,-0.009317722171545029
1,hand,6,1,0.5941336750984192,0.8130889534950256,-0.01132398284971714
1,hand,7,1,0.5856996178627014,0.8173031806945801,-0.011381322517991066
1,hand,8,1,0.5801944136619568,0.8140836358070374,-0.010579274035990238
1,hand,9,1,0.6048991084098816,0.784242570400238,-0.004563800524920225
1,hand,10,1,0.5975922346115112,0.8144004940986633,-0.006329272873699665
1,hand,11,1,0.5884938836097717,0.8167175650596619,-0.006568258162587881
1,hand,12,1,0.5825522541999817,0.8128497004508972,-0.006154755130410194
1,hand,13,1,0.6061769127845764,0.7830475568771362,-0.00019751139916479588
1,hand,14,1,0.5998650789260864,0.8092159628868103,-0.0015330540481954813
1,hand,15,1,0.5913509726524353,0.8126866221427917,-0.002166840247809887
1,hand,16,1,0.5853757262229919,0.8105176687240601,-0.0022527454420924187
1,hand,17,1,0.60496985912323,0.7813024520874023,0.0035799145698547363
1,hand,18,1,0.6003414392471313,0.8033445477485657,0.0022154313046485186
1,hand,19,1,0.5937994122505188,0.8086377382278442,0.001582494005560875
1,hand,20,1,0.5884672403335571,0.8083616495132446,0.0016261510318145156
1,pose,0,-1,0.5149534344673157,0.20569577813148499,-0.4158831238746643
1,pose,1,-1,0.5251137614250183,0.18209224939346313,-0.3971966803073883
1,pose,2,-1,0.5304698944091797,0.1826256513595581,-0.3972715139389038
1,pose,3,-1,0.5338922739028931,0.1831507682800293,-0.397329181432724
1,pose,4,-1,0.5083173513412476,0.18123626708984375,-0.396768182516098
1,pose,5,-1,0.5036279559135437,0.18099349737167358,-0.39681366086006165
1,pose,6,-1,0.49859878420829773,0.1810099482536316,-0.39696022868156433
1,pose,7,-1,0.5421928763389587,0.191753089427948,-0.2627679109573364
1,pose,8,-1,0.49445727467536926,0.19048362970352173,-0.26205092668533325
1,pose,9,-1,0.5259047746658325,0.2318694293498993,-0.3643786311149597
1,pose,10,-1,0.5048691034317017,0.23061883449554443,-0.36426326632499695
1,pose,11,-1,0.5864080786705017,0.3406907916069031,-0.17144259810447693
1,pose,12,-1,0.454164981842041,0.3450907766819,-0.16851581633090973
1,pose,13,-1,0.6009518504142761,0.5383217334747314,-0.108505979180336
1,pose,14,-1,0.4395144581794739,0.5467670559883118,-0.13102756440639496
1,pose,15,-1,0.5978420972824097,0.7266926765441895,-0.2375185787677765
1,pose,16,-1,0.4492965340614319,0.7262709736824036,-0.26052096486091614
1,pose,17,-1,0.6061087250709534,0.7771323919296265,-0.2842095196247101
1,pose,18,-1,0.4475787878036499,0.7804901599884033,-0.29709339141845703
1,pose,19,-1,0.5930801630020142,0.7766861915588379,-0.319240540266037
1,pose,20,-1,0.4574570953845978,0.7786350250244141,-0.33854272961616516
1,pose,21,-1,0.5878680944442749,0.7583690881729126,-0.2528343200683594
1,pose,22,-1,0.46119725704193115,0.7603667974472046,-0.27744394540786743
1,pose,23,-1,0.5566005706787109,0.6981480717658997,-0.006679643411189318
1,pose,24,-1,0.485059916973114,0.7026655077934265,0.006842341739684343
1,pose,25,-1,0.5507266521453857,0.9602105021476746,-0.05048438534140587
1,pose,26,-1,0.4966691732406616,0.9538774490356445,0.009824362583458424
1,pose,27,-1,0.5558207631111145,1.1668306589126587,0.25250980257987976
1,pose,28,-1,0.49938100576400757,1.1555660963058472,0.26983630657196045
1,pose,29,-1,0.5557528138160706,1.1918832063674927,0.27465009689331055
1,pose,30,-1,0.5011221766471863,1.1794235706329346,0.29074734449386597
1,pose,31,-1,0.5541322827339172,1.2466256618499756,0.14104075729846954
1,pose,32,-1,0.5031698942184448,1.2348827123641968,0.14115914702415466
2,hand,0,0,0.44197240471839905,0.7287606000900269,-7.403362189961626e-08
2,hand,1,0,0.454963356256485,0.7401645183563232,-0.008995925076305866
2,hand,2,0,0.4604756832122803,0.7631076574325562,-0.011716646142303944
2,hand,3,0,0.4623655080795288,0.7856905460357666,-0.011889500543475151
2,hand,4,0,0.46329474449157715,0.8007465600967407,-0.010857190005481243
2,hand,5,0,0.4431597590446472,0.7811543345451355,-0.011872448027133942
2,hand,6,0,0.4503505229949951,0.8124727010726929,-0.01329972967505455
2,hand,7,0,0.4588969647884369,0.8172580599784851,-0.012589460238814354
2,hand,8,0,0.4657207131385803,0.8146480321884155,-0.011299462988972664
2,hand,9,0,0.4369904100894928,0.7816236019134521,-0.006325151771306992
2,hand,10,0,0.4465034008026123,0.811410129070282,-0.008054282516241074
2,hand,11,0,0.4565001130104065,0.8140139579772949,-0.007688586600124836
2,hand,12,0,0.46367642283439636,0.809878408908844,-0.006978507153689861
2,hand,13,0,0.4351060390472412,0.7802981734275818,-0.000876910169608891
2,hand,14,0,0.4445556700229645,0.8059759736061096,-0.0029493572656065226
2,hand,15,0,0.4534582793712616,0.808235764503479,-0.003393563674762845
2,hand,16,0,0.45994552969932556,0.8040536046028137,-0.003063714597374201
2,hand,17,0,0.43557071685791016,0.7788774371147156,0.004225922282785177
2,hand,18,0,0.4428406059741974,0.7990641593933105,0.0021969841327518225
2,hand,19,0,0.4499261975288391,0.8026040196418762,0.0015650922432541847
2,hand,20,0,0.455522745847702,0.7999067902565002,0.0017999241827055812
2,hand,0,1,0.5979102849960327,0.730952799320221,8.903430881446184e-08
2,hand,1,1,0.5867415070533752,0.741685688495636,-0.010524610057473183
2,hand,2,1,0.5829190611839294,0.7650455832481384,-0.014096655882894993
2,hand,3,1,0.5809565186500549,0.7884394526481628,-0.015270387753844261
2,hand,4,1,0.5790238976478577,0.8081086277961731,-0.015381189994513988
2,hand,5,1,0.6002421975135803,0.7838262915611267,-0.010058893822133541
2,hand,6,1,0.5950736999511719,0.8142074346542358,-0.011912642978131771
2,hand,7,1,0.5862078666687012,0.8179436922073364,-0.012069464661180973
2,hand,8,1,0.5802896618843079,0.8138956427574158,-0.011289350688457489
2,hand,9,1,0.6050436496734619,0.7834393382072449,-0.004289700649678707
2,hand,10,1,0.5983779430389404,0.8139098882675171,-0.006079711951315403
2,hand,11,1,0.5885666608810425,0.8163023591041565,-0.006552332546561956
2,hand,12,1,0.5819300413131714,0.8115963339805603,-0.00621416000649333
2,hand,13,1,0.6062932014465332,0.7816299200057983,0.0009905677288770676
2,hand,14,1,0.5998884439468384,0.8078665137290955,-0.0005181881715543568
2,hand,15,1,0.5911319255828857,0.8108565807342529,-0.001291929860599339
2,hand,16,1,0.5848517417907715,0.807694673538208,-0.0013433031272143126
2,hand,17,1,0.6053202152252197,0.7794676423072815,0.005564557854086161
2,hand,18,1,0.6007581949234009,0.8010413646697998,0.003973522689193487
2,hand,19,1,0.5939527153968811,0.8058210611343384,0.0031955628655850887
2,hand,20,1,0.5884000062942505,0.80494624376297,0.003223764942958951
2,pose,0,-1,0.5151612758636475,0.20462331175804138,-0.4136486351490021
2,pose,1,-1,0.5252315998077393,0.1812671422958374,-0.39344513416290283
2,pose,2,-1,0.530483067035675,0.18183258175849915,-0.3935413658618927
2,pose,3,-1,0.5340463519096375,0.18232983350753784,-0.393598735332489
2,pose,4,-1,0.5083388686180115,0.18053381145000458,-0.3943638801574707
2,pose,5,-1,0.5036181807518005,0.18042869865894318,-0.3944200277328491
2,pose,6,-1,0.4986005127429962,0.18052920699119568,-0.39455536007881165
2,pose,7,-1,0.5422868132591248,0.1917618066072464,-0.2524547278881073
